iter	RMSE
0	1724904.405
1	1694745.536
2	1667812.598
3	1641802.726
4	1617013.159
5	1591276.134
6	1564409.888
7	1542916.189
8	1521379.97
9	1500124.827
10	1478045.093
11	1456974.058
12	1442236.47
13	1420805.944
14	1403928.709
15	1385111.954
16	1367315.829
17	1353743.52
18	1338256.785
19	1324310.313
20	1306860.909
21	1291991.533
22	1277372.53
23	1263456.388
24	1250415.139
25	1242684.288
26	1231937.468
27	1219896.388
28	1209029.395
29	1195837.397
30	1184115.065
31	1174086.835
32	1164406.67
33	1155393.824
34	1143970.916
35	1134480.198
36	1127368.532
37	1118265.405
38	1111370.432
39	1101862.183
40	1093819.734
41	1086008.934
42	1078637.428
43	1074228.934
44	1065538.31
45	1058552.512
46	1057153.369
47	1049135.906
48	1042480.3
49	1035961.617
50	1030208.653
51	1024372.063
52	1019548.474
53	1011662.053
54	1007336.887
55	1002497.309
56	997716.9891
57	991784.1054
58	985179.7117
59	980550.8604
60	978541.1249
61	973290.1043
62	969227.5089
63	965520.8087
64	960937.6503
65	956540.7231
66	954301.0958
67	951628.9179
68	948045.7041
69	943575.828
70	940354.6751
71	937462.3314
72	933337.4766
73	929391.1789
74	925386.5831
75	922434.4918
76	919496.1987
77	917788.605
78	914513.3633
79	911071.6273
80	908566.4621
81	904652.9272
82	899931.063
83	895601.3932
84	891458.034
85	888912.5559
86	886627.5277
87	883396.1499
88	879413.9854
89	875564.6008
90	873868.819
91	871230.7611
92	869876.4781
93	867388.5518
94	865225.307
95	863868.6595
96	861529.1454
97	858962.5225
98	856830.4137
99	855659.421
100	852596.7202
101	850077.1971
102	847803.0265
103	845840.2614
104	844681.2367
105	842975.1548
106	840259.5331
107	838394.0358
108	837190.408
109	835160.0194
110	833499.9117
111	832167.9328
112	831361.3016
113	829394.6327
114	827339.772
115	825019.5607
116	823916.5297
117	820405.8569
118	819131.6207
119	817974.9652
120	816607.9791
121	814775.4829
122	813512.3443
123	812303.8479
124	810769.8927
125	808203.379
126	805693.7987
127	803891.5084
128	802170.5883
129	800116.3989
130	797886.0377
131	797040.8699
132	794498.9698
133	793387.4433
134	790897.5179
135	790587.4324
136	788131.2602
137	787752.4292
138	785627.2261
139	784755.5785
140	783318.1404
141	781153.7028
142	780556.8479
143	779743.6254
144	777913.6998
145	777156.7767
146	775611.0287
147	772727.3422
148	771956.8281
149	770627.5049
150	769314.1741
151	768090.186
152	766803.0609
153	766197.217
154	765119.9157
155	763703.1462
156	763337.135
157	762322.3684
158	760405.2796
159	757549.7889
160	757289.8983
161	756209.6899
162	754262.3443
163	752836.5685
164	750871.1063
165	749537.7378
166	749349.0604
167	747116.8618
168	745355.6382
169	744781.8542
170	743933.3899
171	742178.6048
172	741692.0778
173	740927.2432
174	739727.3076
175	738212.7713
176	737257.5406
177	735346.4475
178	735132.8793
179	733381.7555
180	731074.8065
181	729862.3827
182	728566.3156
183	727547.4804
184	725296.2888
185	724024.2578
186	722573.4374
187	721368.649
188	720806.7554
189	719385.3055
190	718493.1495
191	717188.6587
192	716568.2521
193	715595.7526
194	714674.6236
195	712598.9549
196	711629.873
197	710947.4286
198	710232.6702
199	709179.6246
200	707633.4887
201	706629.8383
202	705793.6447
203	704529.7919
204	703311.1033
205	702570.0884
206	702066.7202
207	700313.1089
208	699531.1812
209	697787.3473
210	696552.5616
211	696175.6856
212	695097.2513
213	694988.9227
214	692784.537
215	691813.9682
216	689796.7203
217	687758.3153
218	686749.4478
219	685629.7111
220	685329.8264
221	684533.3727
222	683611.9789
223	683324.4552
224	682454.7341
225	681886.197
226	680667.138
227	679630.1595
228	677993.6695
229	676960.7252
230	676356.5336
231	675221.6055
232	674399.4397
233	673364.9621
234	671699.2562
235	671082.5733
236	670921.7406
237	670057.8394
238	669941.7527
239	667784.2209
240	666400.4945
241	665473.5299
242	665137.5218
243	663762.8039
244	663470.2358
245	663300.2385
246	661305.0091
247	660392.249
248	660276.5186
249	659405.5672
250	658099.8784
251	656721.1971
252	655830.0444
253	654473.6688
254	654183.7372
255	653187.0514
256	651509.2191
257	650759.647
258	649467.9193
259	648622.929
260	648503.1584
261	647563.4407
262	646816.7668
263	645643.4616
264	643880.8812
265	642836.1221
266	641431.9807
267	641254.7926
268	641020.3845
269	640491.2509
270	639596.2377
271	638014.3085
272	637611.377
273	636898.5577
274	636144.3661
275	636039.9963
276	635965.9397
277	634687.1516
278	633251.7896
279	633183.8463
280	632283.0617
281	630682.0773
282	630062.882
283	629090.8921
284	628232.6962
285	628164.8781
286	627690.0704
287	626878.9654
288	626282.7711
289	625960.8086
290	625179.0812
291	624300.6017
292	623293.4353
293	622295.0251
294	621848.1411
295	620920.9315
296	619682.8829
297	617957.5348
298	617301.1952
299	616946.3106
300	616178.6567
301	616133.6474
302	615744.6525
303	615002.1666
304	614110.5264
305	613426.1818
306	612465.6886
307	612232.2301
308	611226.0259
309	609998.3247
310	609693.8096
311	609398.777
312	609046.6243
313	608116.0982
314	608050.0466
315	607361.5443
316	606357.4645
317	604185.169
318	603661.653
319	603063.4811
320	602041.7459
321	601599.2935
322	601263.899
323	600807.1466
324	600770.1823
325	600400.304
326	600057.5979
327	599744.9944
328	599680.9422
329	598783.9644
330	597898.7053
331	596850.6595
332	596363.8323
333	595919.579
334	595026.2581
335	594415.0432
336	593102.7387
337	592243.6907
338	591650.6951
339	590584.3745
340	589529.6249
341	589130.4641
342	588531.8115
343	588471.1474
344	588012.3295
345	587040.1565
346	586269.7512
347	585411.6457
348	583908.7872
349	583600.3471
350	582809.7529
351	581716.5164
352	580172.5763
353	579691.5899
354	578530.1483
355	578215.157
356	577955.0869
357	577905.4211
358	576935.2948
359	576190.3282
360	576027.0571
361	575023.2213
362	573643.4248
363	573276.4646
364	571668.0673
365	571236.351
366	570533.1665
367	570184.2055
368	569901.1075
369	569075.504
370	568412.9975
371	567670.3121
372	567192.8668
373	566501.0767
374	566397.0512
375	566148.3892
376	565510.0563
377	564920.7271
378	564486.5259
379	563683.5643
380	563000.1797
381	562898.4951
382	562158.6676
383	560398.2589
384	559025.4467
385	558534.2388
386	558445.3447
387	557381.7721
388	555930.9793
389	555029.2377
