iter	Passed	Remaining
0	146	146479
1	155	77514
2	162	53988
3	167	41822
4	175	34902
5	182	30301
6	192	27357
7	201	25009
8	209	23059
9	216	21452
10	221	19882
11	225	18557
12	229	17387
13	232	16372
14	235	15444
15	238	14667
16	241	13940
17	243	13305
18	247	12753
19	249	12229
20	252	11793
21	255	11365
22	258	10997
23	262	10671
24	265	10345
25	266	10001
26	269	9729
27	272	9469
28	276	9251
29	278	9020
30	282	8821
31	285	8641
32	288	8464
33	292	8303
34	294	8125
35	298	7985
36	301	7845
37	304	7711
38	307	7585
39	310	7460
40	314	7352
41	316	7226
42	320	7125
43	322	6997
44	324	6888
45	328	6821
46	329	6689
47	332	6594
48	335	6519
49	339	6446
50	342	6381
51	346	6322
52	350	6260
53	353	6195
54	357	6142
55	360	6073
56	363	6021
57	366	5958
58	370	5910
59	373	5855
60	375	5774
61	378	5727
62	381	5677
63	386	5652
64	389	5602
65	393	5567
66	395	5506
67	398	5463
68	402	5434
69	406	5398
70	409	5363
71	412	5312
72	415	5278
73	418	5242
74	421	5202
75	425	5172
76	428	5137
77	431	5095
78	434	5063
79	438	5039
80	441	5012
81	447	5004
82	449	4970
83	453	4943
84	456	4911
85	459	4881
86	462	4851
87	465	4820
88	468	4799
89	471	4771
90	475	4747
91	478	4723
92	480	4684
93	483	4663
94	487	4644
95	502	4732
96	506	4714
97	509	4693
98	513	4672
99	517	4657
100	521	4640
101	526	4634
102	531	4626
103	534	4602
104	546	4660
105	550	4642
106	553	4622
107	557	4603
108	561	4588
109	564	4568
110	568	4550
111	570	4524
112	574	4507
113	577	4491
114	581	4474
115	585	4458
116	588	4438
117	592	4425
118	595	4407
119	598	4392
120	602	4374
121	605	4360
122	608	4337
123	611	4322
124	615	4308
125	618	4289
126	621	4271
127	624	4251
128	627	4234
129	630	4218
130	632	4198
131	635	4176
132	637	4157
133	640	4140
134	645	4138
135	647	4114
136	650	4096
137	652	4074
138	655	4059
139	659	4053
140	662	4038
141	665	4022
142	667	4000
143	670	3985
144	673	3970
145	676	3958
146	679	3942
147	682	3931
148	686	3918
149	689	3909
150	692	3896
151	695	3880
152	698	3868
153	700	3848
154	703	3833
155	707	3826
156	708	3806
157	737	3928
158	740	3916
159	744	3907
160	745	3887
161	748	3871
162	752	3861
163	754	3848
164	758	3838
165	761	3827
166	765	3816
167	768	3807
168	771	3794
169	774	3783
170	777	3770
171	781	3762
172	783	3744
173	785	3730
174	789	3721
175	792	3709
176	795	3698
177	798	3687
178	800	3672
179	804	3665
180	808	3659
181	813	3654
182	818	3654
183	821	3643
184	824	3630
185	827	3619
186	830	3611
187	834	3604
188	837	3595
189	841	3586
190	844	3577
191	847	3567
192	850	3557
193	854	3549
194	859	3546
195	861	3535
196	865	3529
197	869	3522
198	874	3520
199	877	3510
200	881	3502
201	883	3491
202	887	3484
203	890	3474
204	893	3465
205	896	3457
206	899	3445
207	902	3436
208	905	3426
209	908	3417
210	911	3408
211	913	3395
212	916	3386
213	919	3376
214	921	3364
215	924	3355
216	927	3345
217	929	3333
218	932	3325
219	935	3315
220	937	3305
221	941	3299
222	943	3288
223	946	3279
224	949	3269
225	951	3259
226	954	3249
227	956	3239
228	959	3229
229	962	3221
230	965	3212
231	967	3202
232	970	3194
233	972	3185
234	976	3177
235	979	3170
236	981	3160
237	984	3152
238	987	3143
239	990	3135
240	993	3128
241	996	3122
242	1001	3119
243	1004	3110
244	1006	3101
245	1009	3093
246	1011	3084
247	1015	3080
248	1018	3071
249	1021	3063
250	1024	3058
251	1027	3049
252	1030	3041
253	1032	3033
254	1035	3025
255	1038	3017
256	1041	3009
257	1043	3001
258	1046	2993
259	1048	2985
260	1051	2976
261	1054	2971
262	1057	2964
263	1060	2957
264	1063	2949
265	1066	2941
266	1068	2934
267	1071	2927
268	1075	2922
269	1078	2915
270	1081	2908
271	1084	2901
272	1086	2893
273	1089	2886
274	1092	2879
275	1094	2871
276	1097	2864
277	1100	2857
278	1102	2849
279	1104	2841
280	1108	2836
281	1111	2829
282	1113	2821
283	1116	2814
284	1119	2808
285	1122	2801
286	1124	2794
287	1127	2786
288	1130	2780
289	1132	2773
290	1135	2765
291	1138	2759
292	1141	2753
293	1143	2746
294	1146	2740
295	1149	2733
296	1152	2727
297	1155	2721
298	1157	2714
299	1161	2710
300	1164	2704
301	1168	2701
302	1172	2696
303	1175	2691
304	1180	2690
305	1186	2690
306	1191	2689
307	1193	2682
308	1196	2675
309	1200	2672
310	1203	2665
311	1206	2660
312	1209	2654
313	1211	2647
314	1215	2643
315	1218	2637
316	1222	2633
317	1225	2628
318	1230	2627
319	1233	2621
320	1236	2616
321	1239	2609
322	1242	2604
323	1245	2598
324	1248	2592
325	1251	2588
326	1254	2582
327	1257	2576
328	1260	2570
329	1263	2564
330	1266	2560
331	1270	2555
332	1274	2552
333	1277	2547
334	1280	2542
335	1283	2536
336	1286	2530
337	1301	2548
338	1303	2542
339	1307	2537
340	1309	2531
341	1314	2528
342	1316	2522
343	1323	2523
344	1325	2517
345	1346	2544
346	1349	2539
347	1353	2535
348	1355	2529
349	1359	2524
350	1362	2520
351	1365	2514
352	1369	2510
353	1372	2504
354	1376	2501
355	1380	2496
356	1383	2491
357	1386	2486
358	1390	2483
359	1393	2477
360	1397	2473
361	1400	2468
362	1403	2462
363	1406	2457
364	1408	2450
365	1411	2445
366	1414	2440
367	1417	2433
368	1420	2429
369	1423	2423
370	1425	2417
371	1429	2412
372	1431	2405
373	1433	2400
374	1436	2394
375	1439	2388
376	1442	2383
377	1445	2378
378	1447	2371
379	1450	2366
380	1453	2361
381	1455	2354
382	1459	2350
383	1461	2344
384	1464	2339
385	1467	2334
386	1469	2328
387	1472	2323
388	1475	2317
389	1477	2311
390	1481	2306
391	1483	2301
392	1486	2295
393	1489	2290
394	1492	2285
395	1494	2280
396	1497	2274
397	1499	2268
398	1502	2263
399	1505	2258
400	1508	2253
401	1512	2249
402	1515	2244
403	1518	2240
404	1520	2234
405	1523	2228
406	1526	2224
407	1528	2218
408	1531	2212
409	1534	2208
410	1536	2202
411	1539	2197
412	1542	2192
413	1545	2187
414	1548	2182
415	1552	2179
416	1555	2174
417	1560	2172
418	1563	2168
419	1567	2164
420	1570	2160
421	1575	2157
422	1579	2154
423	1582	2149
424	1585	2144
425	1592	2145
426	1595	2141
427	1598	2136
428	1602	2132
429	1605	2128
430	1609	2124
431	1613	2121
432	1616	2116
433	1619	2112
434	1622	2107
435	1627	2104
436	1629	2099
437	1634	2096
438	1637	2092
439	1641	2089
440	1644	2084
441	1649	2082
442	1653	2078
443	1657	2075
444	1659	2069
445	1662	2065
446	1665	2060
447	1668	2055
448	1671	2051
449	1674	2046
450	1678	2042
451	1681	2038
452	1685	2035
453	1689	2031
454	1692	2027
455	1696	2023
456	1699	2019
457	1704	2017
458	1708	2014
459	1712	2010
460	1715	2005
461	1719	2001
462	1721	1996
463	1725	1993
464	1728	1988
465	1732	1985
466	1735	1980
467	1739	1976
468	1742	1972
469	1745	1967
470	1749	1964
471	1751	1959
472	1755	1955
473	1757	1950
474	1760	1946
475	1764	1942
476	1767	1938
477	1771	1934
478	1774	1929
479	1794	1944
480	1798	1940
481	1802	1936
482	1804	1931
483	1808	1928
484	1812	1924
485	1815	1920
486	1819	1916
487	1823	1912
488	1827	1909
489	1830	1905
490	1834	1901
491	1837	1897
492	1841	1893
493	1844	1888
494	1848	1886
495	1851	1881
496	1855	1878
497	1858	1873
498	1863	1871
499	1866	1866
500	1870	1862
501	1873	1858
502	1877	1854
503	1880	1850
504	1883	1846
505	1887	1842
506	1890	1838
507	1894	1834
508	1898	1831
509	1901	1826
510	1904	1822
511	1908	1818
512	1911	1814
513	1915	1811
514	1918	1806
515	1922	1803
516	1932	1805
517	1935	1801
518	1939	1797
519	1941	1792
520	1946	1789
521	1949	1784
522	1954	1782
523	1958	1779
524	1963	1776
525	1967	1772
526	1971	1769
527	1974	1765
528	1979	1762
529	1983	1758
530	1986	1754
531	1990	1750
532	1993	1746
533	1996	1742
534	2000	1739
535	2003	1734
536	2007	1730
537	2009	1726
538	2014	1722
539	2017	1718
540	2020	1714
541	2023	1710
542	2026	1705
543	2029	1701
544	2031	1696
545	2034	1691
546	2037	1687
